FID,WD24CD,WD24NM,WD24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
1,E05000932,Ainsdale,,330510,412099,-3.05155,53.60084,8397997.066,16043.45165,5290661c-8d77-4b5e-afe1-714957b6ec91
2,E05000933,Birkdale,,333046,414534,-3.01375,53.62305,3063184.428,8297.732894,7f6464c7-39cf-4bf5-a9f8-1d2363587225
3,E05000934,Blundellsands,,330806,399928,-3.04438,53.4915,4894854.634,10619.99203,c0124a35-6c44-429a-86ac-7908dd910645
4,E05000935,Cambridge,,334745,419336,-2.98908,53.66642,9862438.951,20964.43234,62612dca-77ed-44bd-a264-ec51603c43f0
5,E05000936,Church,,332033,397634,-3.02539,53.47105,3446247.653,8815.537587,7930a816-4323-41e3-9ae7-8b4746997253
6,E05000937,Derby,,334886,395495,-2.98197,53.45218,2196192.23,7184.795198,cad7ae52-a810-4d36-8773-23d34584b311
7,E05000938,Duke's,,332219,415872,-3.02655,53.63497,9920810.185,17652.68259,5aa9b189-19f9-4af9-b29a-7482547479de
8,E05000939,Ford,,333901,398354,-2.99741,53.47775,3337307.156,9176.100502,72c7a50e-5043-4812-a356-2e95473762a0
9,E05000940,Harington,,329709,408904,-3.06293,53.57202,16295748.06,21657.34963,d8de28a4-26d8-4e86-b463-ecb1e4f0b288
10,E05000941,Kew,,334808,415639,-2.98735,53.63321,4057560.373,8410.527681,076a8d70-4a12-4d8b-b3ee-e4d71a7ccf7c
11,E05000942,Linacre,,332970,395633,-3.01085,53.45318,5484571.71,10974.40467,9748f6a4-ab21-4306-98fa-9fde6a19cb7b
12,E05000943,Litherland,,334217,396953,-2.99235,53.4652,1960076.869,8311.029947,7e6584b0-58e6-4b84-86f4-5c5815d133d7
13,E05000944,Manor,,332505,401775,-3.01917,53.50832,13019146.5,28583.2199,4ecb0680-1772-43d5-a3cb-504f776759e9
14,E05000945,Meols,,336678,419705,-2.95991,53.66998,7714455.762,35514.48794,8df8c07a-eb07-46a8-adb7-f31450fad9dc
15,E05000946,Molyneux,,338925,400311,-2.9221,53.49595,12575359.97,25375.84055,c2b5483a-82aa-43a2-9698-d9929b403ae0
16,E05000947,Netherton and Orrell,,335723,398104,-2.96991,53.47573,4259777.494,12557.99652,bc419e37-53d1-49a9-aca5-932310222c9e
17,E05000948,Norwood,,335814,416670,-2.97235,53.6426,3641348.269,9043.989063,e2a1a851-93ee-4fea-b394-715e773e4b97
18,E05000949,Park,,336618,402983,-2.95741,53.51969,13967159.3,24433.77844,e18c6cf3-8707-4e0f-8999-75055f8a6a90
19,E05000950,Ravenmeols,,330973,407590,-3.04355,53.56038,18047709.07,31457.89328,a24301fa-cf6d-4a31-bf58-a4baef898665
20,E05000951,St Oswald,,335633,399751,-2.9716,53.49052,2940615.193,9857.493805,90a24530-e7c7-4aa2-a6f3-bb79e5b098bf
21,E05000952,Sudell,,338607,402139,-2.92725,53.51234,5290076.495,10764.86942,0cbfe34d-1906-4ff5-81f0-a53c6c1ba72e
22,E05000953,Victoria,,332132,399296,-3.02426,53.48599,2218595.692,7370.971964,bceb7b58-dfe6-469d-a7cf-93cf532c6db3
23,E05000954,Bebington,,331811,384396,-3.02587,53.35205,7291296.181,12779.80206,5cd2921e-a28c-4ea9-a067-efa1087eebb1
24,E05000955,Bidston and St James,,329880,389893,-3.05609,53.4012,6965184.212,14208.19052,6a818831-7f9a-4e75-bde2-3abb4424d6d5
25,E05000956,Birkenhead and Tranmere,,332115,388260,-3.02213,53.38681,3590744.738,10692.63384,aeb39b2c-8ba6-4189-90ff-432a5d0e5001
26,E05000957,Bromborough,,334717,383470,-2.98203,53.34409,7796475.863,13848.63895,4985bc10-ee41-475f-aca9-b1412f078e1b
27,E05000958,Clatterbridge,,331396,381821,-3.03154,53.32885,26093496.77,25034.87018,5eb400b5-5f16-4b38-bdad-e65dcf37860e
28,E05000959,Claughton,,328935,388291,-3.06994,53.38667,4274035.343,12186.83726,b8b1da86-8ca0-4f8b-a62e-36c04332e5ac
29,E05000960,Eastham,,336252,380582,-2.95839,53.31832,7656989.926,13307.3219,40593658-ae70-459b-831d-d3a960713511
30,E05000961,"Greasby, Frankby and Irby",,325298,386264,-3.12413,53.36795,10011167.69,16711.49989,9bedd60c-ccd2-4f5b-a6ee-3df6cef9128a
31,E05000962,Heswall,,326371,381625,-3.10693,53.32641,15537804.69,83653.95524,9d21efc1-7b01-4240-8743-4b26965c8433
32,E05000963,Hoylake and Meols,,322887,388781,-3.16098,53.39023,10972568.7,23057.54051,6f80ddda-8fce-4488-ad10-be1e178cc211
33,E05000964,Leasowe and Moreton East,,327234,390900,-3.09611,53.40989,6300871.281,11061.1597,c5f95ba3-d7a0-421a-90d5-d7fe431a5566
34,E05000965,Liscard,,331022,391952,-3.03937,53.41985,2067928.792,9059.616727,b074268a-3a17-46cf-a071-64e7c167fb5a
35,E05000966,Moreton West and Saughall Massie,,325345,389853,-3.12428,53.40021,4716984.85,10263.42173,e3a4eef9-2516-4237-b97a-fa302026c453
36,E05000967,New Brighton,,330669,393475,-3.04502,53.43349,2381399.764,8584.940502,74a41832-6177-4444-86af-1347603698ae
37,E05000968,Oxton,,330358,387490,-3.04838,53.37966,3204815.341,8784.865413,77901745-f8ec-460b-8f4b-96d6a204539d
38,E05000969,Pensby and Thingwall,,327134,384806,-3.09621,53.35511,10930904.43,18464.99528,39c0c65d-7e00-4f83-93d6-c4a46ea081e7
39,E05000970,Prenton,,330283,386381,-3.04926,53.36969,3810124.19,9154.844035,20222be2-abdb-496b-b4b2-26e6f6248b87
40,E05000971,Rock Ferry,,332689,386821,-3.0132,53.37395,3276219.645,11479.32656,cb9d860b-618b-4769-874a-69719f48322d
41,E05000972,Seacombe,,331263,390890,-3.03551,53.41034,3405729.813,9601.336087,643245b7-4917-4eba-a03d-bdcc71b48691
42,E05000973,Upton,,327471,387918,-3.09186,53.38312,4251589.194,9780.235274,de52ffbd-67fd-46a9-a076-ec8641f7944a
43,E05000974,Wallasey,,328967,392781,-3.07047,53.42703,4412929.228,10859.08679,4c23047c-a676-4b94-a100-a22c2ed911f4
44,E05000975,West Kirby and Thurstaston,,323215,385878,-3.15534,53.36418,11974245.01,20046.06373,e6d501b2-f04e-4d7b-b398-2d8e1e3e1ced
45,E05000976,Central,,435247,406419,-1.46945,53.55324,4228909.177,10262.47132,89eede0f-0269-4065-b8d2-94c62c03892c
46,E05000977,Cudworth,,439130,408942,-1.41053,53.57564,8510875.862,17362.96257,d7f83ac5-884e-4240-b5fc-2b963c16f9c9
47,E05000978,Darfield,,441799,404896,-1.37076,53.53907,17817854.26,23546.2362,24d58963-b462-4de1-97d7-fb76922b9a18
48,E05000979,Darton East,,432552,409800,-1.50977,53.5838,7343089.142,15269.98926,5b1d1188-4e5d-4e95-839b-7f87b067f690
49,E05000980,Darton West,,430731,409233,-1.53733,53.57881,11512820.85,22044.61688,1098cf21-1747-4319-93a9-e00b3eaa09c5
50,E05000981,Dearne North,,446070,405467,-1.30624,53.54385,6878732.747,15648.77525,86fd17a2-9759-425b-90f6-e53c1f2086d1
51,E05000982,Dearne South,,445371,403331,-1.31709,53.52471,8726462.77,14444.99457,f3f55f88-3a37-48df-8357-a7afd3a9c797
52,E05000983,Dodworth,,431468,405712,-1.52656,53.54712,10450361.93,18106.36842,ca6a6983-ef9b-4f6a-bd7f-157c375f23fe
53,E05000984,Hoyland Milton,,438159,400942,-1.42616,53.50381,7060701.538,15161.63248,544450c6-9738-4b73-866a-1190e66c344d
54,E05000985,Kingstone,,433921,405849,-1.48952,53.5482,2795893.776,10018.81847,a4c0a876-0429-42a3-8f8e-f28c23a89edc
55,E05000986,Monk Bretton,,437463,409941,-1.43558,53.58474,7477649.037,19841.72627,2e61a38d-d4eb-43e8-a7f2-0687344e8c77
56,E05000987,North East,,441141,409833,-1.38004,53.58349,21051136.51,27436.14157,45f92d7d-80bc-4526-8f40-ff4ead7ffc43
57,E05000988,Old Town,,434291,407536,-1.48375,53.56334,3575943.655,11315.20735,16ee185c-2400-4782-883b-eef4f7788483
58,E05000989,Penistone East,,430225,403069,-1.54557,53.52344,88374527.58,73428.18624,b5786180-9dad-4e0a-8974-44cdc85ae525
59,E05000990,Penistone West,,418795,402677,-1.71799,53.52044,79481636.79,52108.87651,c00d3d9b-abe2-4882-974e-8ef46953d10c
60,E05000991,Rockingham,,435633,400274,-1.46432,53.49798,8740065.112,15288.90505,bad4c23c-8a6d-4d84-965b-6779b214e975
61,E05000992,Royston,,436193,411452,-1.45459,53.59841,6915154.068,13736.04505,3c78e253-2ed1-40e4-a3ab-7cb91b4bccab
62,E05000993,St Helens,,434985,409188,-1.47309,53.57814,4522185.694,11712.25011,58bafdc2-b005-49cc-ae87-0b942f77b964
63,E05000994,Stairfoot,,437537,405092,-1.43504,53.54115,7828607.883,16648.95534,f5fb75fc-493b-438b-9d23-b7c345c55e17
64,E05000995,Wombwell,,438983,402809,-1.41351,53.52053,6692165.59,13837.48355,77f07353-b549-4fb8-9c23-9fbd29246658
65,E05000996,Worsbrough,,435852,403245,-1.46068,53.52467,9104915.654,17816.95956,0fbc35da-9f74-485c-95d3-f8d285a7d55e
66,E05001067,Birtley,,427564,554979,-1.57183,54.8888,3823211.556,9987.987286,29619353-90e4-4a1c-a096-847533f8c802
67,E05001068,Blaydon,,418682,562643,-1.7098,54.95808,5164424.689,12138.6569,0ecb5ff6-4bfe-48ca-9e42-348f802db671
68,E05001069,Bridges,,425902,563064,-1.59702,54.96154,2967880.426,8354.526051,b461de11-663b-4570-8408-5e7ebb48a6f9
69,E05001071,Chowdene,,426178,559049,-1.59307,54.92545,1569937.372,6006.814883,522121ea-227b-4d22-81b1-6418b3520da4
70,E05001072,Crawcrook and Greenside,,414242,562560,-1.77914,54.95748,18254006.4,28136.67228,1594a7a8-66a1-45e1-9e0c-6424f97db0b2
71,E05001073,Deckham,,426542,561450,-1.58717,54.94701,1485097.859,6425.894339,69c4f764-c7fa-4cea-bfef-9cf240b3f7d1
72,E05001074,Dunston and Teams,,422524,562392,-1.64982,54.95567,3166277.006,15063.53161,ea27b6ae-b935-4a06-9b21-847739a338fa
73,E05001075,Dunston Hill and Whickham East,,421977,560989,-1.65847,54.94309,4293518.291,9327.988572,5a10435e-5675-4c77-8679-a875550d10b1
74,E05001076,Felling,,427668,562283,-1.56952,54.95443,2908623.145,8013.883123,b74f558b-6732-4385-bb39-78cff52ab03b
75,E05001077,High Fell,,427365,559853,-1.57448,54.93261,2339314.415,8211.119562,985e20df-fd14-438a-9343-080b8eb11eeb
76,E05001078,Lamesley,,424663,556995,-1.61689,54.90707,26125084.18,31282.6595,8af69b99-b611-42fc-bef0-3e8528ca2ddd
77,E05001079,Lobley Hill and Bensham,,424023,560663,-1.62656,54.94006,3885898.846,12123.09967,1ce7717f-a9c9-4e8c-aa74-b60e1fd3cf0f
78,E05001080,Low Fell,,425808,560285,-1.59874,54.93658,1865236.301,8013.148413,7aa00f75-47b6-489f-ac2a-b9ec47f4f3db
79,E05001081,Pelaw and Heworth,,429681,562220,-1.53809,54.95375,3235392.837,11624.8795,83e20e4c-f570-40c5-be17-c0127f6cabf3
80,E05001082,"Ryton, Crookhill and Stella",,415819,564094,-1.75443,54.97122,5977861.96,12090.1702,874a7416-b93f-459e-b157-b64c2f3e46d9
81,E05001083,Saltwell,,425193,561305,-1.60825,54.94577,1489324.221,5844.914359,9da93ed6-f570-40e6-904a-22bc9d8c9c03
82,E05001084,Wardley and Leam Lane,,430266,561080,-1.52908,54.94347,4196260.476,9872.849974,f09e1308-809c-455e-a667-05ee6f17c121
83,E05001085,Whickham North,,420615,562048,-1.67966,54.95266,3798777.173,12020.249,c88e88be-00af-4315-b02d-6e0533f8d2dc
84,E05001086,Whickham South and Sunniside,,419633,558969,-1.6952,54.92503,14559552.13,24946.08639,ded9e7d2-e261-4808-8878-a01ce6c8c41a
85,E05001087,Windy Nook and Whitehills,,428246,560358,-1.56068,54.9371,2928062.737,8137.443197,ab590dc3-8cde-477a-b4f3-47ac52d66786
86,E05001088,Winlaton and High Spen,,415995,560595,-1.75187,54.93977,11400459.33,22840.99594,3a9fab48-5463-4aee-be49-c31c14e0cdce
87,E05001135,Beacon and Bents,,436843,567411,-1.4256,54.99992,2541312.101,11296.33681,1587a506-6d64-46c6-af43-345a3ee128b6
88,E05001136,Bede,,434298,564256,-1.46576,54.97175,4267936.275,15771.29625,a05b69f7-4f36-4590-86bc-4b653d4ce522
89,E05001137,Biddick and All Saints,,435430,563299,-1.4482,54.96307,1780292.321,8226.949963,0541970c-d45a-43d3-83c7-30d46f9b6add
90,E05001138,Boldon Colliery,,435232,561872,-1.45146,54.95026,5612989.967,10879.35366,cab14344-ae00-498a-af9f-e364882d951f
91,E05001139,Cleadon and East Boldon,,437972,562085,-1.40866,54.95198,10858635.41,18995.0827,20c14245-78c2-4e0f-87b7-01d774297516
92,E05001140,Cleadon Park,,437816,564000,-1.41084,54.9692,2012195.232,7585.685992,2c7b905a-a334-41e1-ac61-ee0851e025f5
93,E05001141,Fellgate and Hedworth,,432610,561175,-1.49248,54.94418,8613094.944,12993.94932,2f3ebf02-f1b5-4475-af6a-ed2c97d4719b
94,E05001142,Harton,,438170,564789,-1.40521,54.97626,1586495.003,5863.157793,5816270b-398d-4995-9ead-6bb125c6074c
95,E05001143,Hebburn North,,430824,564566,-1.51999,54.97476,2726321.717,8435.290507,8850a734-066a-44af-a575-00bb99cef83c
96,E05001144,Hebburn South,,431201,563396,-1.51423,54.96423,2757281.619,8072.753762,070ff2ee-8195-4ee3-84b5-7434eeeab614
97,E05001145,Horsley Hill,,438438,565933,-1.40087,54.98652,2769009.573,10035.51139,bc144b59-e95a-4b87-a98b-f00531198c73
98,E05001146,Monkton,,432126,563781,-1.49974,54.96763,1886576.002,7914.108088,8f6385d6-8da3-47da-8f40-bdc7dfe65fd5
99,E05001147,Primrose,,432738,565096,-1.49003,54.9794,3112890.633,10561.10331,40e1a379-7757-4c34-9e6d-133a9d721f35
100,E05001148,Simonside and Rekendyke,,435537,565211,-1.44629,54.98025,2478539.182,9995.088756,c8b8820b-bbb9-4ca4-bf58-7663f4226aca
101,E05001149,Westoe,,437234,566024,-1.41967,54.98743,1383848.126,5898.348791,cc1de9d5-4626-4cdc-9ab5-866942cd74f0
102,E05001150,West Park,,436669,565205,-1.4286,54.98011,1234555.808,5006.545356,d14d002d-0365-4599-80a2-6e06d1325a23
103,E05001151,Whitburn and Marsden,,440203,562929,-1.37371,54.95939,6949235.477,16311.25831,c36724f7-7dfc-42e5-a23d-3d0433f1a376
104,E05001152,Whiteleas,,436809,563431,-1.42664,54.96416,1861354.993,6582.870363,08495859-9b9c-4bb9-a771-54dd98056c2b
105,E05001153,Barnes,,437632,555695,-1.4148,54.89458,2140049.984,6242.562211,8dc3e2ff-d3a3-4de7-8e01-2c71a490d82a
106,E05001154,Castle,,435772,558349,-1.44347,54.91857,3483204.841,9835.04664,4234cbb6-b021-4460-9510-b4e9750eab5d
107,E05001155,Copt Hill,,435144,550573,-1.45421,54.84874,15111171.3,24266.91062,b81602ff-b54f-4647-9ea6-932030c8f122
108,E05001156,Doxford,,438089,551915,-1.40817,54.86058,9157870.961,18117.62813,359c4e15-0a1c-437f-89ff-126d2eebf020
109,E05001157,Fulwell,,439566,559742,-1.38409,54.9308,2573547.845,10003.27309,8900270a-7921-4370-884a-249a8931570c
110,E05001158,Hendon,,440672,556258,-1.36733,54.89941,3844961.341,13139.1878,4160d0f4-3a27-49eb-a209-8bbf33d4923b
111,E05001159,Hetton,,435151,547213,-1.45451,54.81855,15588144.31,21643.52231,1ea2bfbe-cfb4-4654-bc56-38457f0fc410
112,E05001160,Houghton,,432923,550487,-1.48881,54.84812,5476987.967,11593.61757,ce1751d3-280c-4edb-9e1b-687d4e7bbd33
113,E05001161,Millfield,,438715,556997,-1.39774,54.9062,2457543.387,8528.425005,682d58fb-9083-44f1-9d16-09951699d9db
114,E05001162,Pallion,,437045,556979,-1.42379,54.90617,3190929.74,9442.914075,7cf7b0b3-83cf-4f33-946b-a8fb87d90220
115,E05001163,Redhill,,436500,559509,-1.43197,54.92894,2773429.886,9469.355927,5ac33c94-2838-4795-a62b-77452a117536
116,E05001164,Ryhope,,440539,553152,-1.36983,54.87151,5506233.257,12569.44614,f4c48dcd-9400-47b7-9f7b-24cdf26c326e
117,E05001165,St Anne's,,435799,556403,-1.44329,54.90108,3127802.063,9695.637035,f8be6e52-d9fa-418f-a09d-511de3dc91e7
118,E05001166,St Chad's,,436408,553434,-1.43417,54.87436,3163865.898,9155.919075,e8daee34-e32e-480f-9c65-a200be3cbad0
119,E05001167,St Michael's,,439509,555682,-1.38554,54.89432,2757281.374,7817.535531,0264b3ec-1555-497d-8ff9-012344ebc648
120,E05001168,St Peter's,,440591,559102,-1.36819,54.92497,2056384.936,9709.287361,630a7f36-7531-447b-b46c-dd0329da3006
121,E05001169,Sandhill,,436056,554602,-1.43951,54.88488,2596377.991,7646.153496,661b0637-94eb-4a43-ae66-34b0675bcdc5
122,E05001170,Shiney Row,,433434,554081,-1.48044,54.88038,10801577.47,17030.07881,152e8eac-64ab-4591-a80c-c4c148d0f1e7
123,E05001171,Silksworth,,438564,553969,-1.4005,54.879,3907148.98,9971.4171,f1775e3c-57c3-4c29-93dd-cc9e91d34f6f
124,E05001172,Southwick,,438204,559187,-1.40542,54.92592,4435958.61,12571.91612,004890e7-a739-413d-830f-29ccc6d673b3
125,E05001173,Washington Central,,430637,555981,-1.52383,54.89763,3218303.692,7225.499708,4fb7ff3f-3164-4e42-9c18-ae1acbf2d8c9
126,E05001174,Washington East,,432058,555823,-1.50169,54.89612,7446039.529,22027.40824,65353d74-08c1-45ef-a7ec-8971be14c095
127,E05001175,Washington North,,432426,558401,-1.49566,54.91926,11778608.19,15430.84607,6749b478-154e-4435-b8b6-f4805f7b5959
128,E05001176,Washington South,,429231,554879,-1.54586,54.88781,4321761.288,13104.50696,89f48816-ef54-443c-bcc2-834bb3a8945f
129,E05001177,Washington West,,429192,558021,-1.54615,54.91605,6458124.382,12352.87851,8b0db47b-bf49-42fb-8b7a-9104e8fd9f47
130,E05001218,Bablake,,429800,282581,-1.56303,52.4404,21490872.25,32291.07787,f30a955b-a604-4dfb-a2cf-c6beb1b0c9dc
131,E05001219,Binley and Willenhall,,436854,277078,-1.45987,52.39051,5040830.811,10305.0133,e49ec015-32b9-408c-8c60-d1b56292384d
132,E05001220,Cheylesmore,,434899,276644,-1.48864,52.38673,5788537.618,14817.68336,1f940f73-1d16-4e0d-ba91-11af97f152e5
133,E05001221,Earlsdon,,431812,277334,-1.53393,52.39312,5436896.913,14215.10984,2ee87c64-b660-450c-bdf5-e7caeb6c8d2d
134,E05001222,Foleshill,,434174,281518,-1.49879,52.43059,3675088.117,10193.72298,4e21a7ab-f8e6-424c-963e-e9985ca9f17e
135,E05001223,Henley,,437692,281855,-1.44702,52.43339,7106475.675,14708.52909,401d7c46-9208-4702-91b8-af496728fc3c
136,E05001224,Holbrook,,433107,282910,-1.51435,52.44317,3496617.99,9671.986433,41e52747-e976-48c5-a24e-3cb9a02cba74
137,E05001225,Longford,,435702,282923,-1.47617,52.44313,5424535.009,14495.99848,14ee6de7-aa6a-4aed-91b0-520c5d2cf5f3
138,E05001226,Lower Stoke,,435846,278717,-1.4745,52.40531,3504682.633,8124.873578,e4932451-c75f-4027-b14f-04619613405a
139,E05001227,Radford,,432928,280942,-1.51718,52.42549,2817885.259,9047.463252,e0d8c0b5-f62e-436c-adb2-fb29a2737582
140,E05001228,St Michael's,,433866,279103,-1.50357,52.4089,3896145.452,9951.290408,5e383869-6f08-430f-b226-d9fb3bb854eb
141,E05001229,Sherbourne,,431453,279981,-1.53896,52.41694,3302243.028,10990.7385,38a312c9-f2c4-41cc-b676-fa388a7068a9
142,E05001230,Upper Stoke,,435857,280084,-1.47419,52.41759,2962098.164,10596.41895,1747c8f8-2ffe-4498-a709-add6119bdf90
143,E05001231,Wainbody,,430975,275624,-1.54638,52.3778,6261648.992,16147.84695,e26e1d48-4c66-41aa-b2d3-065fc5ccae7e
144,E05001232,Westwood,,428763,277657,-1.5787,52.39619,6456452.293,15551.78582,85accc5e-04b7-4b12-9c6a-c4b88e3e6b67
145,E05001233,Whoberley,,430544,279373,-1.55237,52.41152,2980462.573,9628.074148,834ca223-c8e9-49c2-9227-df4e66965464
146,E05001234,Woodlands,,428303,279613,-1.5853,52.4138,4436830.313,12500.39574,423119c2-8071-42d5-b029-623e0d890c7f
147,E05001235,Wyken,,437337,279755,-1.45247,52.41454,4571197.793,12211.86538,ec3cefe2-1577-4da9-a47a-1ddde829ea0d
148,E05001260,Abbey,,401468,286308,-1.97981,52.47471,2113056.768,6424.186461,fd736cd4-78a2-41fe-9297-5024ad98f0bf
149,E05001261,Blackheath,,397297,286716,-2.04122,52.47837,2586452.125,10093.45524,b90dd5a6-eab9-4bbe-8c4a-dda07451bb18
150,E05001262,Bristnall,,400338,287192,-1.99644,52.48266,2355542.442,8250.37072,a2931306-e352-4f23-b2cc-f9fa778f5a8c
151,E05001263,Charlemont with Grove Vale,,402032,293851,-1.97146,52.54252,3968530.795,11820.42945,3d86ba21-6ec3-446a-9104-afa89bb569bd
152,E05001264,Cradley Heath and Old Hill,,394956,285810,-2.07567,52.47021,4012122.34,10539.30499,a20c2095-ba4f-4d97-b7d3-aaed445aa81f
153,E05001265,Friar Park,,400684,295347,-1.99133,52.55597,3022381.501,6950.359988,f588fa56-1eef-4a57-93eb-4a3a21b642b9
154,E05001266,Great Barr with Yew Tree,,403283,295130,-1.953,52.55401,3911694.403,11812.3628,6a8c33c9-3543-4e97-bed3-ef13399d5821
155,E05001267,Great Bridge,,397347,292643,-2.04053,52.53166,3579812.62,9859.535172,f3880b02-32b5-478e-8c91-4bf5a5e1d52c
156,E05001268,Greets Green and Lyng,,399386,291207,-2.01047,52.51876,3813090.744,9647.47988,a0091930-9872-4849-8438-1dcd06e8c084
157,E05001269,Hateley Heath,,400400,293111,-1.99552,52.53587,3056596.05,10823.43983,6c17b2b7-5de1-45bb-ae98-03b9707da16a
158,E05001270,Langley,,398563,287675,-2.02258,52.487,2870044.228,10723.77171,7b4aedd8-2e41-4b9d-bab0-e0ce9bd6674f
159,E05001271,Newton,,403601,293320,-1.94833,52.53774,3161540.451,8214.662902,5932d8cf-e714-4f46-9d38-c86665f22793
160,E05001272,Old Warley,,400026,285796,-2.00103,52.47011,2647426.548,7722.655385,1c1198e4-f9da-4667-9f29-a9e7a87ff992
161,E05001273,Oldbury,,398429,289990,-2.02457,52.50781,6635993.621,12950.92195,b44c1be2-80be-4c2a-9592-78138ce6742c
162,E05001274,Princes End,,396283,293859,-2.05623,52.54258,2604327.587,10107.03029,02dcd224-38f5-425f-a3b6-041f968e096a
163,E05001275,Rowley,,396400,288129,-2.05444,52.49107,4281127.678,12970.65765,4ed7ea4b-5a4b-4017-89f8-2bad5e3b0ebb
164,E05001276,St Pauls,,401579,289213,-1.97816,52.50083,4001653.044,10355.50577,4bb77e9a-f603-4c90-ac2c-db5b677ffa92
165,E05001277,Smethwick,,401377,287981,-1.98114,52.48975,2118769.829,7001.367794,a3b9b1ac-04f8-4920-854b-03d4c4b9c77a
166,E05001278,Soho and Victoria,,403109,288292,-1.95563,52.49254,3252827.846,9408.781299,724c3068-1acc-4686-a0e2-7229fafa5545
167,E05001279,Tipton Green,,395799,291839,-2.06334,52.52442,3442316.507,9485.409695,61b318c8-ad8e-424b-a16c-49e845581284
168,E05001280,Tividale,,396893,289473,-2.04719,52.50316,2701515.737,9948.33724,0ccf5c61-e96a-4755-924b-39affb317d31
169,E05001281,Wednesbury North,,398831,295714,-2.01867,52.55927,3625297.651,9903.97037,55299c30-ac24-463c-9a11-3b40e10dd0bb
170,E05001282,Wednesbury South,,398523,293731,-2.0232,52.54144,4902760.734,11245.15376,50841bd1-eb39-4207-9565-627685fa7885
171,E05001283,West Bromwich Central,,401172,291393,-1.98415,52.52043,6902504.517,14340.71103,c852fb84-4ef8-4bcc-84d2-b65e2de80c7f
172,E05001284,Bickenhill,,419179,281976,-1.71931,52.43544,39596479.4,37030.424,98f971ac-2a5c-4114-bb1b-345b78541fcd
173,E05001285,Blythe,,412102,275912,-1.82362,52.38112,15719816.57,20485.57943,d23e62ab-0393-428b-b7ee-831e9d0e0fc9
174,E05001286,Castle Bromwich,,415241,289925,-1.77687,52.50702,3216786.545,9496.751562,a8e5be84-4134-459b-8dea-545ecce95854
175,E05001287,Chelmsley Wood,,418312,287059,-1.73178,52.48116,2722380.857,9497.830075,37816b0f-400f-4243-a620-44d18c29f7fe
176,E05001288,Dorridge and Hockley Heath,,415921,274742,-1.76757,52.37051,11527516.45,20259.61712,4dcbd56b-8602-4ccb-ae88-c1af2ce65a76
177,E05001289,Elmdon,,415929,282263,-1.7671,52.43812,5010302.799,9801.096678,e35e6ab9-4188-4532-ad04-9cfce45e1ba8
178,E05001290,Kingshurst and Fordbridge,,417111,287373,-1.74945,52.48402,2800423.279,9086.130153,a4686f68-690e-4976-9377-97912bfd8942
179,E05001291,Knowle,,418717,276028,-1.72643,52.38198,16014330.86,28400.86396,c8345000-0016-43b7-b4cc-9b174c461221
180,E05001292,Lyndon,,414053,283089,-1.79466,52.4456,2983522.346,8872.105782,f0ad3896-7b5f-407b-943f-5034096c55ea
181,E05001293,Meriden,,424031,277969,-1.64822,52.39922,51763849.96,44331.60622,36f4b9dc-5854-4439-983a-174a51cada28
182,E05001294,Olton,,413213,281821,-1.80707,52.43422,3976583.258,11348.11717,6ed9cefb-3028-46d3-b61f-13e14ef1b2bd
183,E05001295,St Alphege,,414929,278903,-1.78196,52.40794,6865697.356,13608.05185,b21c850c-fba9-4a55-b5e5-83ae25893d9a
184,E05001296,Shirley East,,412562,279424,-1.81673,52.41268,2549026.99,6975.727045,fefb9296-d396-4423-b7bc-573cd1c99e39
185,E05001297,Shirley South,,412516,277741,-1.81747,52.39756,4362365.137,10653.64476,38a4e9c2-7a3f-4ffb-b497-1616b725121f
186,E05001298,Shirley West,,411045,279061,-1.83905,52.40945,2741118.224,10305.23384,64d123d3-3d71-4c8e-99fb-afcb4ca5a241
187,E05001299,Silhill,,415115,280317,-1.77916,52.42065,4234661.852,10379.6468,9d5666c5-1099-4e4e-a423-b1ab6292834b
188,E05001300,Smith's Wood,,417316,289373,-1.74633,52.502,2211555.187,7884.30466,2a5f6bf1-c39b-4e91-8d0d-7ca1b503435b
189,E05001301,Aldridge Central and South,,405585,300180,-1.91897,52.59939,13751307.01,20585.62815,ce0c0f14-1e2c-47c7-ba47-48e9955609cb
190,E05001302,Aldridge North and Walsall Wood,,404791,303637,-1.93064,52.63048,7857625.671,17135.58596,b4aaed45-3e12-448c-a812-7e1c355c7f97
191,E05001303,Bentley and Darlaston North,,398281,298014,-2.02679,52.57995,4265429.613,11270.38745,39ca1d54-6eed-4453-b880-95ef6952afdb
192,E05001304,Birchills Leamore,,399831,300328,-2.00392,52.60075,4606666.676,11169.66463,ab271bd0-b4d3-4d3a-b060-78d7bba76bd8
193,E05001305,Blakenall,,401194,300367,-1.98379,52.6011,4118998.444,11549.88597,21d50c06-f901-48c9-9a64-5d7578789f2c
194,E05001306,Bloxwich East,,400440,303111,-1.99492,52.62577,3813322.682,10971.98781,a6f0e286-252f-4457-b054-92f01c01fc75
195,E05001307,Bloxwich West,,398779,302690,-2.01946,52.62198,3528030.762,8491.305995,5f3e5b56-ebe9-48da-8f34-92d85f65681c
196,E05001308,Brownhills,,404181,305799,-1.93962,52.64992,6376331.051,13598.63429,5d0f2ba5-5cf0-4492-9d2f-b0e1a6b36cf0
