FID,WD24CD,WD24NM,WD24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
1750,E05010319,Haxby & Wigginton,,459896,458881,-1.08727,54.02247,16537065.6,19433.14291,5dc46b6a-9caf-4b26-b995-00949bb9b9a7
1751,E05010320,Heworth,,461747,452470,-1.06032,53.96465,2570564.743,10243.0473,91db6833-fa20-42a2-89f4-a57e370b8ca0
1752,E05010321,Heworth Without,,463155,454108,-1.03852,53.9792,4042709.7,10385.34213,7c88e208-5c87-4d50-a48d-eae2b3ea0568
1753,E05010322,Holgate,,458563,451834,-1.10896,53.9593,3056413.334,8923.375923,f7eb0eed-f942-437e-8ffc-599a68a8b0a9
1754,E05010323,Hull Road,,463208,450860,-1.03838,53.95,3740952.557,11942.40053,1173df03-130c-4540-b445-d7857480176e
1755,E05010324,Huntington & New Earswick,,462009,455514,-1.0557,53.99197,10578619.97,16559.64496,a2803f4c-dbba-4122-a99d-19960810968e
1756,E05010325,Micklegate,,459665,450249,-1.09248,53.94493,4040109.463,10994.70862,97621dab-a1a6-4447-858f-92d29ad4352e
1757,E05010326,Osbaldwick & Derwent,,466751,452167,-0.98412,53.9613,37145386.84,29150.4618,72d8a5dc-b1a7-4b25-bf8a-d3cc024f5a2b
1758,E05010327,Rawcliffe & Clifton Without,,459102,454291,-1.10027,53.98132,6035430.5,12580.31892,826ea287-54d0-40a6-851a-88db6679aa16
1759,E05010328,Rural West York,,455214,451416,-1.16007,53.95591,51291515.49,51698.10977,83077c07-36ee-40a6-8ec4-ad75da968ba4
1760,E05010329,Strensall,,464462,458389,-1.01769,54.0175,33825629.05,33511.08172,d15c63c2-b8d2-46e5-8f43-d5285ee0aebd
1761,E05010330,Westfield,,457109,450422,-1.13138,53.94677,2779960.45,9024.459929,2f654883-f165-4469-8b79-efd2dd96043c
1762,E05010331,Wheldrake,,464782,445776,-1.01548,53.90412,46976396.13,44757.03034,40fd91bf-5058-4a75-bdc6-14b088524bcd
